Name,Price,Link
"Erazer Deputy 15 P1 MD62764 Intel Core 5 210H 16GB 1TB SSD RTX5060 Freedos 15.6"" 144Hz Fhd IPS Taşınabilir Bilgisayar",47.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=MmltSjNaMGRzVVV0YnJaNnR6UnZvK0U3RStmREowdTJFOGZTelY0UHRwODdRdGU0WGJXWWdoSDB5aEg4MDVFc1VsK1NRY2Q3VmhqaG1rT3dBM1crL1dMWVBrMXF6ZkdqUGpRR3VBbm9lS0RsZ2FVcjd1bks2d1NDc25qOWlJQ054MDFDSnRVNnpFRWlsUFIwakdyRmhhZ056ZjVLQ213QXhEbklPbno1ajR4dDF5RHBxME51cU9OeitMOEdkZFhCT2l1SWc5RlREendCS1NyZ0EyT2U0aC9TMUlPb0ljUlFkOTQvTXJOY0V1OUFySkZQeXJnZTJaUnFRYjJPVFRXZzc3ZVl1ZDlkdEtwQVM3WEx5VXQ0NGNQNUkySFhOenhoeGI1RXR4TFN4UU5wNVliRUNEaWpHU3RzdDRWOGdPYmZPRHJ6ZDhYdTYvb200bFZGdmsySmM3Z1RRS09IMHo5cnRGTDBrUHBsYjRSU0lRelhIT1lxL21GS2tncnkvTzNTdmZ6VTh6NExXSnBCdzNhVm92QjRrVE1wWGNDU0RWUmszNStNcncza0FKZ1B4ZHp4M0hsbkkrV1J3cm9Wb3NhdDI3NlRpU2MxZy9EdThzb3JuS2JtaEVSR1ZUSmRBNXJkNTZZdk5Ra0xBc0tmVzRZaEE1WFFpR2xyN1kxemxIdWpqWnF5cXRCSEZaRm5SSXZjUnZHMWZLUm5KbzcyU0k1WHhTRjI1RnVHb0hz&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Ferazer-deputy-15-p1-md62764-intel-core-5-210h-16gb-1tb-ssd-rtx5060-freedos-15-6-144hz-fhd-ips-tasinabilir-bilgisayar-p-HBCV00009FHJ60%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
"MSI CYBORG 15 A13VE-1252XTR Intel Core i5 13420H 16GB 512GB SSD RTX4050 Freedos 15.6"" FHD Taşınabilir Bilgisayar",36.490 TL,https://www.hepsiburada.com/msi-cyborg-15-a13ve-1252xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00006IUW8W
"Apple MacBook Air M4 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Gök Mavisi MC7A4TU/A",60.599 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=akNQM2xHWUg5ZFVOT2tnYTRtSDJWZlU4VUNMcVBEUU94dzZ2MG5QMzl3aVA0cmllQnpWNUIxMXhOZDBiYVk0R2liRWRBbjhzaUlQTGdvcjkwcTFrME5lS1JXWFlwQW8rVE5IOEhjRXhIVDdlVjhFUVRGaHhZcjVuWVRCN1Vlem9hL0VPemNMQzVzVC9sU2pxeHVUbmx3V0pkbkt5UG5lRnBjZEhDT0xFVHkzOC9VbHVneGtBVE0zTW5IdktxK2tIYk0raGRpZ1haZEdYbDRnNWNsenMyZUtnWnpGR0p2ZjB1Q3N0THpKV2k0cFZKaDI5ZkRYZVJ5R3F0SVBYZHFYSzhmRGFzNmxIU29jdWM0L25obmpjeUxPSDF4aFh2Q2dETXJTZXp5RWlTQkg0aUFCdE9HbjVSU0dDaUdXZk1mOW9RRFQ0UzRMVXJuUndYeGh5dmNtMkNNOUJMaTBzYVpZT1VPSVRnbUZydGFOMW9lWmRRUzd2OC9DaEYzaXFxT1N1L3FnQWZFTnNzMFRHZlJWVmhGL2hFK3h0SmI3ZFgrY2F4Y3l1THAvWEN2ejlCdkFtTUJ6YkFJNFF3QjBvREVFMUd3cUpFUFRRZTBVUHRXWWtSRFZGRHU3UFJMTVgxSHhRSjZqV3VUR1RsVlkyaDlDR0VZTXBDdFgzbkc5cHJ0NmlOWWRnUnh3RHVsRGdaYzdEd0VzcFpZV0hpRXJmM3o0U005aVdWWDJGOHlJ&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fapple-macbook-air-m4-16gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gok-mavisi-mc7a4tu-a-p-HBCV00008749NG%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
"Lenovo Ideapad Slim 3 Intel Celeron N100 4GB 128GB Windows 11 Home 15.6"" FHD Taşınabilir Bilgisayar 82XB009GTX",8.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-celeron-n100-4gb-128gb-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-82xb009gtx-pm-HBC00008O183I
"Lenovo Ideapad Slim 3 Intel Core i5 13420H 16GB 512GB SSD 15.3"" WUXGA IPS Freedos Taşınabilir Bilgisayar 83K1003MTR",21.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-16gb-512gb-ssd-freedos-15-3-wuxga-tasinabilir-bilgisayar-83k1003mtr-pm-HBC00008O31RA
"MSI THIN 15 B13UC-3074XTR Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar","31.170,50 TL",https://www.hepsiburada.com/msi-thin-15-b13uc-3074xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00008QM2JK
"Casper Excalibur G870 Intel Core i7 13620H 24GB 1TB SSD RTX5060 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-CF60X-C",51.799 TL,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-i7-13620h-24gb-1tb-ssd-rtx5060-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-cf60x-c-pm-HBC0000A9HHKW
"Lenovo IdeaPad Slim 3 Intel Core i5 13420H 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 83EM00C7TR",21.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-83em00c7tr-pm-HBC00009PPGDY
"Apple MacBook Air M4 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Gümüş MW1G3TU/A",60.699 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=ZldwUXd2T1JtZitjOU1HbEVSZnRVRHZQb0NnUi80SGlGenZnMEdKbzkrWC90SDR4cnlSN05wUmFhdURjeDg4emppMU1nd0J5U2xvLzUwYks0YTBXMW5VUmZYZ2ZKampnM3I5U2V1ekJNUVIyWXM4aHZORktqRWZDSXh5RU9lUVFZM29UckpIekdYOE1DVEE5ZWdyTkcrSDY3VnloQmI2bHE4L2FyT0RScjNKV3JhdkV2Nktvb2d6ZUkvdjlQUVlXWUN5UkM5OUc3dzFlenNRRmJwcHg4c2duRGZyb1cxQU1XbGRMUU90bEw0d3hwcURuNmdvQmVPK0FKYnpNZ1NwRUVVZFZNZG5xaW9RYm40UElXeU1VUWFxNmdlSTNTa2g5cDIxZGhtOWdzN1owSkthVWowVnd6S2VlRlF1NlAzU1ZMWUl5SUlYdFMvN2t6TTREcDliM1BGVTZGRzNuOVVEaUJwdW5JM3R3ZHNwa0J4dEY0ai9sUTE5dy8wTXNXUFBVN3dCTkw4eFgybmRyUjUzOTJlcUZaZjcxaE1aSXgrTXY2OVp0b044SnE5S3NYZzlZa0pSQWUrUjZ4NEdNK0tLb0hOcmRWNlBKSDlibDNvRDJZMkYvNDQvdGp4U3A3djljdlBmeVAzbmJhL1UrK3dnWWV6WHpNOUc1aWt6Wk1MaE8zNWxRRXRnRjlFTU5xZE1PYWprQi85L1h2dGlsMWNuLzRoSHhXckViQ0pN&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fapple-macbook-air-m4-16gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gumus-mw1g3tu-a-p-HBCV00008749UT%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
"Lenovo IdeaPad Slim 3 AMD Ryzen 7 5825U 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00U8TX","17.137,28 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-7-5825u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xm00u8tx-pm-HBC00009POGNP
"Erazer Defender 17 P1 MD62757 Intel Core i7 13620H 16GB 1TB SSD RTX5060 Freedos 17.3"" Taşınabilir Bilgisayar",51.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=YzVycXh3YWxKTHJuS0JVOWc0KzVnUEV2NFI4b0lUWHFCVDVlNFZrbTFOazh3Si9rUGdiK0VGVHNTN0ZRV2tqRS9WU0lxWXFmNmpMeTB5VDhDMHdCSHdDUURyZ1ZNSWo2QndWdENFcTFUL0VxUld3NFp3cEw0QXZwcEVtUHVRUG0rQ05UWm9jTkxRcGVkY1B6bEYzd09LL04zMGF0OFRVVWZXZEIrdzk4bUtpbE5YTkZvaHlFSlR6S2tmNGZERmR6aHRkb3ZCWTZtY1haR08xQjcvRHAyemdua1BUOXRxQ2N0RkMrTk5LMSs5UGlPKzdsU05mTmwxR1g4czZMb0M2eEJwWkpmaENKYmt4K3h6M0tQUjlYMGxRVlpnbzZtRS9WbVlLcG8rOVJRcEJSWVhIMll2V21nM0xwYnBkQkQ5WkZKRDUycDBCZnlzV2x5bjduaDlqRk1NS2pDTzE0eTE5Nkc3N241VTZ1SmNmYlc3VnNQeG5tTXRXbTJnbngvUVphekhqWlE3bW5pS3hKaWJ3VEJ6K0tieXNjTUo0ZGt0ZXFqb3BranlwZU5mNmVtMkQ4Z2dCTjA3Vk9XaUxiNDNJLzB2YzBlNjNhVWhpTHo1aHpWWm1TVEtFdGJNaVRYUjVuT3dGYXF1eGloaHNackxsUXhPUVdSWDdhWFFFZU1Ra1VtQ1ltNGp1bW9PcnZuc2ZHaVF6YVdya1Z2cGFtMmtOaGd4NitnNzQrS2JF&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Ferazer-defender-17-p1-md62757-intel-core-i7-13620h-16gb-1tb-ssd-rtx5060-freedos-17-3-tasinabilir-bilgisayar-p-HBCV0000AKZ9KA%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
