Başlık,Marka,Ürün Modeli,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,İşlemci Cache,Temel İşlemci Hızı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Bellek Hızı,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Ekran Panel Tipi,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı,Ekran Kartı İşlemcisi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Apple MacBook Air M4 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Gümüş MW1G3TU/A",Apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02 03:42:03,61.899 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=cHFFLzROY1BSM3BlYkxIcUhQcXVVajlYcnR3b0F0V0kydXVQLzhsbEZGV1NjQlBMM0Z2OStwQmZ5RncvQVBhUitaNGZYM2VaSWZ1bUQ2SkFYaVk2Z0FoeDRVZWNvMzRsREMrSVpQL054RnZNYXVIRERpQVJRQUxadVdLTmJudVdkYW9OUHdUVitUVlllMWVXQ1ZMdmRwSWxreS80SXFQdTc0VmJkUkNydUUzTVdiWjhKWG5mWkM4ZVc4SXNPM2lITXpCWXluZHAzMVVQallsVHVKZ0QrRVZjQzlkL3B3V2dPcUMzdWo5RGJrYThNMXQ0bkdRcmY3WlZ0YlRGSmcwemRQU3BSTUJzUWZxZTl5VVc4NmxiQ2FRRDZSS2tpSENXNDlhdU1MdTlEcmtLRndBa1BhRG1WZUpGS2ltT0RCay8yWGgvWUxra3ZqMElrKytHdlJvWmRSZlpxMDZIZUlGdUVuQ3RWQkVnZEZUNDRFVm02RWNRVmUvcUZwRkUxdWVNUExUUHArd2pIWEF0YmVPZ1U0YTNzejdmSENaYWxxdkx1NzM1WFBGNmVwcHkzVUZ4bXZmeGcyQ1Y0aGNCZTVvK0FOVSszcUFaN3hueXdQZU5hNGJRcVRlY09VVkZLd0I4cUVTdFZBdC9ON2tvd2F0aUh2M09YYzU3Q2pUM1ozc2tjVElFTXQyQmxGUjZZUVZLQXJ2d08yN0RaWXFUQUl4dnRzdVQyU0d0UjdV&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fapple-macbook-air-m4-16gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gumus-mw1g3tu-a-p-HBCV00008749UT%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=a26a7faf-9ff8-4e64-bffb-c9895d443e39
"Apple MacBook Air M4 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Gök Mavisi MC7A4TU/A",Apple,Notebook,,Mavi,2 kg ve Altı,Apple M4,Apple M4,Apple M4,,Belirtilmemiş,,Yok,,Belirtilmemiş,Belirtilmemiş,,Yok,15 inç,Liquid Retina Ekran,2880 x 1864,,,Dahili Ekran Kartı,Onboard,,Paylaşımlı,Paylaşımlı,macOS,2025-12-02 03:42:08,61.799 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=QnM3N1JDS05YdkVFQnJPTVBWMHJZdUVhVS9tT1djYlpzZ1htTk1GYVBzaWlxWUFlRVZCNXFMM0NsUWRvWTJUOFlNWDMvODRQZi8xbHFQM1I3RWlVeko2QnJTamZUTjh5TWpVVUJnSVo0ekJLRzc2RUJvWkQ5ZGpBeTZVMEtMUFI0TnVpQmY5WVNwRWpHL1lka1JDK09IUTBUVnZ3WUM2d090a0dsTTBOWkg1QjFWZDlnMFZTYjF1d1BHMG1ha056cTcvcytMK0ExbWwzQXJMdFFDeCtsdWluL01JNlhBUFJzQ01EZEFEUmhZbGt0RDBRUGRhTVZrY1l0Z2Q2ZjZDb0IvYXJsNVZwNTFoeE1QVS9xWjZ4eGR0RUw5eVV6VGZORjd3NDZ0enBXN2xPdEdQMGFhWGpMbFV6RWViZEJZM1RaK25SNXN0NVUrS2ZaMUZSdm03WXVhaHYvOFhMVk1XSHk1NzF0VXNSdWVPM3NaMFNWNjRIdzV1bDdWMXhUcWlZSFc1cGs0NXFnR0JvYUpYcWVHMms4eGxlcmhFSVNoaEdsak9Uc1pWZEh3akNxVXZ2ajdBVi9MeDRVMk91ays0bmdmYU5pZlFrTG9SWTZRSVZ5SVdTRXlMYzdsZkxJZlFNMzdWU3hmaW5aUnhKbnpUcFpBRDErNjNveW1DeW41QzhncXhoWUhDSDZUdGszeVhyY2N2dDBTY0hpbDlNUDFnanNGQUFjZnJuNWUw&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fapple-macbook-air-m4-16gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gok-mavisi-mc7a4tu-a-p-HBCV00008749NG%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=a26a7faf-9ff8-4e64-bffb-c9895d443e39
"MSI CYBORG 15 A13VE-1252XTR Intel Core i5 13420H 16GB 512GB SSD RTX4050 Freedos 15.6"" FHD Taşınabilir Bilgisayar",MSI,Oyun Bilgisayarları,Oyun ve Eğlence,Siyah,1 - 2 kg,Intel Core i5,Intel Core i5,13.Nesil,,12 MB Cache,"4,6 GHz","4,6 GHz",16 GB,DDR5,5200 MHz,512 GB,Yok,"15,6 inç",TN,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4050,NVIDIA GeForce,6 GB,GDDR6,Yok (Free Dos),2025-12-02 03:42:13,35.990 TL,https://www.hepsiburada.com/msi-cyborg-15-a13ve-1252xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00006IUW8W
"Lenovo Ideapad Slim 3 Intel Celeron N100 4GB 128GB Windows 11 Home 15.6"" FHD Taşınabilir Bilgisayar 82XB009GTX",Lenovo,Notebook,,Gri,2 kg ve Altı,Intel Celeron,N100,İntel N Serisi,,6 MB Cache,,"3,4 GHz",4 GB,LPDDR5,4800 MHz,Yok,128 GB,"15,6 inç",TN,1920 x 1080,,,Dahili Ekran Kartı,Onboard,,Belirtilmemiş,Onboard,Windows 11 Home Single Language,2025-12-02 03:42:18,"8.852,46 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-celeron-n100-4gb-128gb-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-82xb009gtx-pm-HBC00008O183I
"Erazer Deputy 15 P1 MD62764 Intel Core 5 210H 16GB 1TB SSD RTX5060 Freedos 15.6"" 144Hz Fhd IPS Taşınabilir Bilgisayar",Erazer,Oyun Bilgisayarları,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i5,210H,Series 2,8,24 MB Cache,"2,2 GHz","4,8 GHz",,DDR5,5600 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 5060,Nvidia GeForce RTX,8 GB,GDDR7,Yok (Free Dos),2025-12-02 03:42:23,47.999 TL,https://www.hepsiburada.com/erazer-deputy-15-p1-md62764-intel-core-5-210h-16gb-ram-1tb-ssd-rtx5060-15-6-144hz-fhd-ips-freedos-tasinabilir-bilgisayar-pm-HBC00009FHJ5Z
"Lenovo Ideapad Slim 3 Intel Core i5 13420H 16GB 512GB SSD 15.3"" WUXGA IPS Freedos Taşınabilir Bilgisayar 83K1003MTR",Lenovo,Notebook,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,8,12 MB Cache,,"4,6 GHz",16 GB,DDR5,4800 MHz,512 GB,Yok,"15,3 inç",IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,Onboard,Intel UHD Graphics,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 03:42:27,21.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-16gb-512gb-ssd-freedos-15-3-wuxga-tasinabilir-bilgisayar-83k1003mtr-pm-HBC00008O31RA
"MSI THIN 15 B13UC-3074XTR Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar",MSI,Oyun Bilgisayarları,Oyun ve Eğlence,"Gri, Gri",2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,,12 MB Cache,"2,6 GHz","4,6 GHz",16 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",FHD,1920 x 1080,Full HD,144 Hz,Harici Ekran Kartı,Nvidia GeForce RTX 3050,Nvidia GeForce RTX,4 GB,GDDR6,Yok (Free Dos),2025-12-02 03:42:32,"29.643,15 TL",https://www.hepsiburada.com/msi-thin-15-b13uc-3074xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00008QM2JK
"Casper Excalibur G870 Intel Core i7 13620H 24GB 1TB SSD RTX5060 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-CF60X-C",Casper,Oyun Bilgisayarları,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,24 MB Cache,,"4,9 GHz",,DDR5,4800 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,165 Hz,Harici Ekran Kartı,Nvidia GeForce RTX 5060,,8 GB,GDDR7,Yok (Free Dos),2025-12-02 03:42:37,51.799 TL,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-i7-13620h-24gb-1tb-ssd-rtx5060-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-cf60x-c-pm-HBC0000A9HHKW
"Erazer Defender 17 P1 MD62757 Intel Core i7 13620H 16GB 1TB SSD RTX5060 Freedos 17.3"" Taşınabilir Bilgisayar",Erazer,Oyun Bilgisayarları,,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,24 MB L3 Cache,,"4,9 GHz",,DDR5,5600 MHz,,Yok,"17,3 inç",FHD,1920 x 1080,,,Harici Ekran Kartı,Nvidia GeForce RTX 5060,,8 GB,GDDR7,Yok (Free Dos),2025-12-02 03:42:41,51.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=Z1JiU3JqOXRrcERmbzFCMEhPSkFYdHZnVlM4V2hPRHp0Tnhwb3pvUnh6M2FlaC8zbC9uTjlHNXZkTlZxYUhGZUE1RncyTWlVeGQ0RytNV3ErSEg2aXVDcEhrcENER3o1dTNTeWpkUW9tcWZ6elEzRytQbUltc1l5UmFpRUxrUk1IRFVVWWNoTm1zdkJYRjJtMkhHWUlyMmYvVUNrSkhReTN1WkUzTTByVkJXR0xTeTd2ODFqc0djZDJnVk5VWmN6S083SDFidzNLRDAxb0g1QkUzcEFiZ1lKVCswNUVySW8xSytmZkVnc1lHOTRzRmJhUnRNVksrVm5SSm5vdTJ3ZnF3NXNDNkRqVEFzSnQyUnFnMjhESkdHdkNWai8wdk1vcVk4ODY3OGFOeU5MTTN3d05USUo2MXgvQzJsczVBdE9ITzdkWFFQYTBDUWZGVWxmVnNVYlBOWW9VNHhkYzNCZFZET0RoRjdVOFh0WUdibVRyNFJrMEM3akNpVUZhZFlyWDhvd2lmZ3BEQ29rU3FicFQ3dUNRNWQ0ZmVNWUg1NE45ektXQnppak5NTnV6VWJ2T2JkRkwwMVZ6VUtzNlg5UDVhRzMxODJKMFVUSURUZ3hOdG1RcGFqcEtkL0R1cHNERlErSlNtSjl2dHo2bzFvekgvUHVqMUpNUXI1YXk0MS9wempaM0JvOVNvcldqWis0SnlhcnNMVG1HTDJySE5VUVdrM1RhNzJna0pr&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Ferazer-defender-17-p1-md62757-intel-core-i7-13620h-16gb-1tb-ssd-rtx5060-freedos-17-3-tasinabilir-bilgisayar-p-HBCV0000AKZ9KA%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=a26a7faf-9ff8-4e64-bffb-c9895d443e39
"Lenovo IdeaPad Slim 3 Intel Core i5 13420H 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 83EM00C7TR",Lenovo,Notebook,Ofis ve İş,"Gri, Buz Mavi",2 kg ve Altı,Intel Core i5,13420H,13.Nesil,8,12 MB Cache,"2,1 GHz","4,6 GHz",,LPDDR5,4800 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,,Onboard,Onboard,Intel UHD Graphics,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 03:42:46,"20.921,05 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-83em00c7tr-pm-HBC00009PPGDY
