Başlık,Marka,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Cihaz Ağırlığı,Kullanım Amacı,Şarjlı Kullanım Süresi,İşletim Sistemi,Renk,Çekilme Zamanı,Fiyat (TRY),Link
"Macbook Air M1 Çip 8gb 256gb Ssd Macos 13"" Qhd Taşınabilir Bilgisayar Uzay Grisi",Apple,Apple M1,Belirtilmemiş,1. Nesil,8,Belirtilmemiş,,8 GB,DDR2,,256 GB,250 GB,"13,3 inç",2560 x 1600,Retina,120 Hz,,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR2,,2 kg ve altı,Ev - Okul,,Mac Os,Gri,2025-12-02 06:07:32,"44.799,23 TL",https://www.trendyol.com/apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-p-68042136?boutiqueId=61&merchantId=374206
"Ideapad Slim 3/ Intel N100/ 4gb Ram/ 128gb Ssd/ 15.6""/ W11/ Laptop 82xb009gtx",LENOVO,Intel Alder Lake N100,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,3.2,3.2,4 GB,Belirtilmemiş,128 GB,128 GB,Belirtilmemiş,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,,2 - 4 kg,Ev - Okul,,Belirtilmemiş,Gri; Siyah,2025-12-02 06:07:33,8.799 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-n100-4gb-ram-128gb-ssd-15-6-w11-laptop-82xb009gtx-p-880830432?boutiqueId=61&merchantId=413566
"Nirvana Intel Celeron N4020 4GB RAM 120GB SSD Windows 11 Home 15.6"" Hd Laptop C370.4020-4C00B",CASPER,Intel Celeron,N4020,Belirtilmemiş,2,1.1,2.8,4 GB,LPDDR4,,120 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),60 Hz,TN,Intel UHD Graphics 600,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Gri,2025-12-02 06:07:34,10.999 TL,https://www.trendyol.com/casper/nirvana-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-laptop-c370-4020-4c00b-p-358003688?boutiqueId=61&merchantId=114258
"IdeaPad Slim3 Intel Core i5-12450H 8GB 512GB SSD DOS 15.6"" FHD Arctic Grey Laptop 83ER000WTR",LENOVO,Intel Core i5,12450H,12. Nesil,8,2,4.4,8 GB,LPDDR5,8 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1200,Full HD (FHD),60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:07:36,20.299 TL,https://www.trendyol.com/lenovo/ideapad-slim3-intel-core-i5-12450h-8gb-512gb-ssd-dos-15-6-fhd-arctic-grey-laptop-83er000wtr-p-772120068?boutiqueId=61&merchantId=917738
V15 82YU0123TX RYZEN5-7520U 16GB 512SSD 15.6 FreeDos,LENOVO,AMD Ryzen 5,7520U,5. Nesil,4,3.2,3.0,16 GB,Birleşik Bellek,8 GB,512 GB,256 GB,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,,2 - 4 kg,Ofis - İş,,Windows,Çok renkli; Siyah,2025-12-02 06:07:37,19.999 TL,https://www.trendyol.com/lenovo/v15-82yu0123tx-ryzen5-7520u-16gb-512ssd-15-6-freedos-p-816046818?boutiqueId=61&merchantId=514546
"Swift 3 AMD Ryzen 5-5500U 8GB 512GB SSD FreeDos 14"" 1.2kg FHD Gümüş Dizüstü Bilgisayar NX.AB1EY.002",ACER,AMD Ryzen 5,5500U,5. Nesil,6,3,4.0,8 GB,LPDDR4X,8 GB,512 GB,512 GB,14 inç,1920 x 1080,Full HD (FHD),60 Hz,TN,AMD Radeon R5,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),GRI; Gri,2025-12-02 06:07:38,19.499 TL,https://www.trendyol.com/acer/swift-3-amd-ryzen-5-5500u-8gb-512gb-ssd-freedos-14-1-2kg-fhd-gumus-dizustu-bilgisayar-nx-ab1ey-002-p-300442845?boutiqueId=61&merchantId=734641
"Macbook Air 13.6"" M2 8gb 256gb Ssd Gece Yarısı",Apple,Apple M2,Belirtilmemiş,2. Nesil,8,3.3,,,Birleşik Bellek,8 GB,,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,,M2 8 Çekirdekli,Dahili,8 GB,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Mac Os,Mavi,2025-12-02 06:07:39,40.000 TL,https://www.trendyol.com/apple/macbook-air-13-6-m2-8gb-256gb-ssd-gece-yarisi-p-336318153?boutiqueId=61&merchantId=621599
Excalibur G870.1362-DXB0X-B i7-13620H 32GB RAM 2TB NVMe SSD 8GB RTX4060 Freedos Gaming Laptop,CASPER,Intel Core i7,13620H,13. Nesil,10,2.4,4.9,32 GB,DDR4,64 GB,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),165 Hz,IPS,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,105W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah; Gri,2025-12-02 06:07:40,58.999 TL,https://www.trendyol.com/casper/excalibur-g870-1362-dxb0x-b-i7-13620h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-freedos-gaming-laptop-p-672155829?boutiqueId=61&merchantId=141868
Ideapad Intel Celeron N4020 4GB 128GB SSD Freedos 14'',LENOVO,Intel Celeron,N4020,Belirtilmemiş,2,Belirtilmemiş,2.3,4 GB,DDR4,8 GB,128 GB,HDD Yok,14 inç,1366 x 768,HD Ready (HD),Belirtilmemiş,TN,Intel UHD Graphics 600,Dahili,Paylaşımlı,DDR4,,2 kg ve altı,Ev - Okul,,Free Dos (İşletim Sistemi Yok),Gümüş,2025-12-02 06:07:42,"25.076,87 TL",https://www.trendyol.com/lenovo/ideapad-intel-celeron-n4020-4gb-128gb-ssd-freedos-14-p-367015572?boutiqueId=61&merchantId=222210
"IdeaPad 3 AMD Ryzen 7 5825U 16GB 512GB SSD 15.6"" FHD Freedos Laptop",LENOVO,AMD Ryzen 7,5825U,5. Nesil,8,1.8,4.3,16 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ev - Okul,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:07:43,24.849 TL,https://www.trendyol.com/lenovo/ideapad-3-amd-ryzen-7-5825u-16gb-512gb-ssd-15-6-fhd-freedos-laptop-p-752653765?boutiqueId=61&merchantId=557390
